Issue,Definition,Cause,Budget,Recommended Product & Link,Solution
Frizz,Hair appears dry and puffy due to lack of moisture or humidity.,"Lack of moisture, humidity, heat damage.",Under $25,"[COLOR WOW Dream Coat Supernatural Spray, MONDAY HAIRCARE Smooth Shampoo + Conditioner Bathroom Set](https://amzn.to/3XKWdu5)","Use sulfate-free shampoo, deep condition, apply anti-frizz serum."
Frizz,Hair appears dry and puffy due to lack of moisture or humidity.,"Lack of moisture, humidity, heat damage.",$25 & Up,"[Amika the shield anti-humidity spray, Amika velveteen dream smoothing shampoo, Nexxus Ultralight Weightless Shampoo & Conditioner, Moroccanoil Intense Smoothing Serum, ](https://amzn.to/3FlEBid)","Use sulfate-free shampoo, deep condition, apply anti-frizz serum."
Frizz,Hair appears dry and puffy due to lack of moisture or humidity.,"Lack of moisture, humidity, heat damage.",$75 & up,[Ionic Bonding Spray 3.4 oz & Anti-Frizz Shampoo and Cond](https://amzn.to/4iHbcgy),"Use sulfate-free shampoo, deep condition, apply anti-frizz serum."
Dandruff,White flakes on the scalp caused by excessive shedding of skin cells.,"Dry scalp, fungal infection, product buildup.",Under $25,"[Neutrogena T/Sal Therapeutic, Nizoral Anti-Dandruff Shampoo, Biolage Scalp Sync Anti-Dandruff Shampoo, Amazon Basics 2-in-1 Dandruff Shampoo,Amazon Basics Tea Tree Shampoo ](https://amzn.to/3XKWdu5)",Use anti-dandruff shampoo with zinc pyrithione or tea tree oil.
Dandruff,White flakes on the scalp caused by excessive shedding of skin cells.,"Dry scalp, fungal infection, product buildup.",$25 & Up,"[OUAI Detox Shampoo (10 fl oz) & Anti-Dandruff Deluxe, Nioxin Scalp Recovery, Redken Scalp Relief Dandruff](https://amzn.to/3FlEBid)",Use anti-dandruff shampoo with zinc pyrithione or tea tree oil.
Dandruff,White flakes on the scalp caused by excessive shedding of skin cells.,"Dry scalp, fungal infection, product buildup.",$75 & up,[Act+Acre Cold Processed Vitamin E Scalp Detox Oil and BHA Salicylic Acid Scalp Exfoliator](https://amzn.to/4iHbcgy),Use anti-dandruff shampoo with zinc pyrithione or tea tree oil.
Hair Loss,Excessive shedding or thinning of hair from the scalp.,"Genetics, stress, poor diet, hormonal imbalance.",Under $25,"[ NMOFAXIN Anti Hair Loss Shampoo, Mielle Organics Rosemary Mint Scalp, Marc Anthony Grow Long Set, Rosemary and Biotin Shampoo, iRestore Anti Hair Loss ](https://amzn.to/3XKWdu5)","Use hair growth serums, improve diet, reduce stress."
Hair Loss,Excessive shedding or thinning of hair from the scalp.,"Genetics, stress, poor diet, hormonal imbalance.",$25 & Up,"[ BosleyMD Foam, Nioxin Hair Fall Defense Shampoo, Nioxin Density Defend, BosDefense for Light Thinning Hair Kit, hims Thick Fix Hair ]","Use hair growth serums, improve diet, reduce stress."
Hair Loss,Excessive shedding or thinning of hair from the scalp.,"Genetics, stress, poor diet, hormonal imbalance.",$75 & up,"[Shapiro MD Hair Growth Experts Hair Loss Shampoo, Nioxin Hair Fall Defense Shampoo, Nioxin Progressed Thinning ](https://amzn.to/4iHbcgy)","Use hair growth serums, improve diet, reduce stress."
Oily Scalp,"Scalp produces excess oil, making hair greasy.","Overactive sebaceous glands, overwashing hair.",Under $25,"[Amazon Basics Tea Tree Shampoo, Pravana Purify, Tea Tree Special Shampoo](https://amzn.to/3XKWdu5)","Wash hair with a mild shampoo, avoid heavy conditioners on scalp."
Oily Scalp,"Scalp produces excess oil, making hair greasy.","Overactive sebaceous glands, overwashing hair.",$25 & Up,"[ Brocato Peppermint Scrub, OUAI Detox, Nutrafol Exfoliating Scalp Mask Eliminates Product Build-up and Oil, Briogeo Scalp Revival, L'ANZA Healing Remedy Scalp ]","Wash hair with a mild shampoo, avoid heavy conditioners on scalp."
Oily Scalp,"Scalp produces excess oil, making hair greasy.","Overactive sebaceous glands, overwashing hair.",$75 & up,[Oribe Serene Scalp Oil Control](https://amzn.to/4iHbcgy),"Wash hair with a mild shampoo, avoid heavy conditioners on scalp."
Split Ends,"Hair strands split at the tips, leading to frayed ends.","Heat styling, chemical treatments, lack of trimming.",Under $25,"[TIGI Bed Head Ego Boost Split End Mender Leave in,PM Super Strong Liquid Treatment, PM Bond Rx Treatment](https://amzn.to/3XKWdu5)","Trim regularly, deep condition, avoid heat tools."
Split Ends,"Hair strands split at the tips, leading to frayed ends.","Heat styling, chemical treatments, lack of trimming.",$25 & Up,[Redken Extreme Anti-Snap Anti-Breakage Leave-In](https://amzn.to/3FlEBid),"Trim regularly, deep condition, avoid heat tools."
Split Ends,"Hair strands split at the tips, leading to frayed ends.","Heat styling, chemical treatments, lack of trimming.",$75 & up,"[Kenra Triple Repair Shampoo & Conditioner Set, ORIBE Mirror Rinse Glass Hair Treatment](https://amzn.to/4iHbcgy)","Trim regularly, deep condition, avoid heat tools."
Dry Hair,"Hair lacks moisture, making it brittle and rough.","Overwashing, heat damage, lack of conditioning.",Under $25,"[Suavecita Argan Silkening Serum, Bed Head Shampoo and Conditioner For Dry Hair, ORIBE Gold Lust Repair & Restore, Pravana Intense Therapy Masque](https://amzn.to/3XKWdu5)","Use hydrating hair masks, limit heat styling, deep condition."
Dry Hair,"Hair lacks moisture, making it brittle and rough.","Overwashing, heat damage, lack of conditioning.",$25 & Up,"[Olaplex No. 6 Bond Smoother, Leave-In,Redken All Soft Shampoo and Conditioner Set For Dry, Olaplex No. 5 ](https://amzn.to/3FlEBid)","Use hydrating hair masks, limit heat styling, deep condition."
Dry Hair,"Hair lacks moisture, making it brittle and rough.","Overwashing, heat damage, lack of conditioning.",$75 & up,"[Pureology Hydrate Moisturizing Shampoo and Cond, ORIBE Supershine](https://amzn.to/4iHbcgy)","Use hydrating hair masks, limit heat styling, deep condition."
